gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment,,
https://www.google.com/maps/place/Catalyst+Ranch/data=!4m7!3m6!1s0x880e2cc597cd4acb:0x281384f7e6df93e9!8m2!3d41.8847905!4d-87.6450279!16s%2Fg%2F1tfcttd0!19sChIJy0rNl8UsDogR6ZPf5veEEyg?authuser=0&hl=en&rclk=1,Catalyst Ranch,4.7,-175,Event venue,656 W Randolph St Ste 4E,⋅ Opens 8 AM Mon,https://lh5.googleusercontent.com/p/AF1QipM7nUVijqo8NlaqO5gqw-tM6Tc5-vwBRckbd46L=w122-h92-k-no,"""The staff was",professional,", punctual, and highly responsive ..."""
https://www.google.com/maps/place/Galleria+Marchetti/data=!4m7!3m6!1s0x880e2cd2629ed2b9:0xf1a2b3b14762687d!8m2!3d41.8932121!4d-87.6485172!16s%2Fg%2F1tdnfvkh!19sChIJudKeYtIsDogRfWhiR7GzovE?authuser=0&hl=en&rclk=1,Galleria Marchetti,4.4,-329,Event venue,825 W Erie St,,https://lh5.googleusercontent.com/p/AF1QipO1EU4H4-prVl5l_MDYArzs80pBpMLYKqjc8IK8=w138-h92-k-no,"""I would highly recommend any",corporate,"event being hosted at ..."""
https://www.google.com/maps/place/Concord+FiftyFive/data=!4m7!3m6!1s0x880fd2debb70d153:0xb1a62922305042c5!8m2!3d41.9117074!4d-87.6623102!16s%2Fg%2F11c1l7h4w2!19sChIJU9Fwu97SD4gRxUJQMCIpprE?authuser=0&hl=en&rclk=1,Concord FiftyFive,4.4,-46,Event venue,1355 W Concord Pl,,https://lh5.googleusercontent.com/p/AF1QipOuNSSglabVz9nGA4SGMpphEsySWFbw8TPnABlG=w122-h92-k-no,"""... and out, and Carissa and her team were incredibly",professional,", ..."""
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d0c768a1593:0x797c30ce64c2b6de!8m2!3d41.8864436!4d-87.6342963!16s%2Fg%2F11h8kxv5c2!19sChIJkxWKdgwtDogR3rbCZM4wfHk?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Meeting planning service,205 W Wacker Dr,⋅ Closes 12 AM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s4M2zhsgTPlPjFLyxMEg1g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=295.57108&pitch=0&thumbfov=100,,,
https://www.google.com/maps/place/Revel+Motor+Row/data=!4m7!3m6!1s0x880e2c7be07b52b7:0x9e96822b8fe6b4d1!8m2!3d41.8490409!4d-87.6243896!16s%2Fg%2F11b8_rbx36!19sChIJt1J74HssDogR0bTmjyuClp4?authuser=0&hl=en&rclk=1,Revel Motor Row,4.5,-101,Event venue,2400 S Michigan Ave,,https://lh5.googleusercontent.com/p/AF1QipMbw6MX8bQ5fpu6m0OLd42gT5pvxkLGbv7DdYM0=w138-h92-k-no,"""... it is filled with a truly",professional,"team."""
https://www.google.com/maps/place/Mainstage+Chicago/data=!4m7!3m6!1s0x880e2d39cabd1ed3:0x39063798ecc96cf6!8m2!3d41.8893305!4d-87.6577211!16s%2Fg%2F11ny1t84dn!19sChIJ0x69yjktDogR9mzJ7Jg3Bjk?authuser=0&hl=en&rclk=1,Mainstage Chicago,5,-9,Event venue,400 N Racine Ave Unit 107,,https://lh5.googleusercontent.com/p/AF1QipO7jd3l9Ri68njSTpVxnvP65xAreep5XCKTUB0S=w138-h92-k-no,"""The staff were",professional,"and super accommodating, and fun to ..."""
https://www.google.com/maps/place/Moonlight+Studios/data=!4m7!3m6!1s0x880e2d2edd2a8edb:0x23f4dfa190aabf3b!8m2!3d41.8888663!4d-87.6643576!16s%2Fg%2F1ptwd74qz!19sChIJ244q3S4tDogRO7-qkKHf9CM?authuser=0&hl=en&rclk=1,Moonlight Studios,4.4,-123,Event venue,1446 W Kinzie St,⋅ Opens 9 AM Mon,https://lh5.googleusercontent.com/p/AF1QipMphEhTGpdkapWkTCDK0sv8oowg-t4oS_rJ2Tqp=w122-h92-k-no,"""Everyone loved the space.""",,
https://www.google.com/maps/place/Corporate+%2B+Private+Event+Planning+Service-+Chicago/data=!4m7!3m6!1s0x880e2c9420fd0c8f:0xa928ce9589eee889!8m2!3d41.8714017!4d-87.6343033!16s%2Fg%2F1tgdtqnq!19sChIJjwz9IJQsDogRiejuiZXOKKk?authuser=0&hl=en&rclk=1,Corporate + Private Event Planning Service- Chicago,,,Event planner,800 S Wells St #1306,,https://lh5.googleusercontent.com/p/AF1QipNAkCjDYYeiCVPD0Z94l2jrRNFB85BCBs4wfAax=w154-h92-k-no,,,
https://www.google.com/maps/place/Ravenswood+Special+Events/data=!4m7!3m6!1s0x880e2c542ebbe2a5:0x60e071a414d8003c!8m2!3d41.8532269!4d-87.6535002!16s%2Fg%2F1v29cm27!19sChIJpeK7LlQsDogRPADYFKRx4GA?authuser=0&hl=en&rclk=1,Ravenswood Special Events,4.2,-5,Event management company,1100 W Cermak Rd,⋅ Closes 5 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5NmUVsy5blg6kSs4YTY6GA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=356.5287&pitch=0&thumbfov=100,,,
https://www.google.com/maps/place/City+View+Loft/data=!4m7!3m6!1s0x880e2d48c132e071:0xfd1d2d7768410371!8m2!3d41.8875923!4d-87.6823886!16s%2Fg%2F1yfjpnpb9!19sChIJceAywUgtDogRcQNBaHctHf0?authuser=0&hl=en&rclk=1,City View Loft,4.7,-132,Event venue,324 N Leavitt St STE 200,⋅ Opens 10 AM Mon,https://lh5.googleusercontent.com/p/AF1QipMi888_bCx2fIEFHAFPjUplcmRG8jmtDV97P64E=w137-h92-k-no,"""... Loft staff was nothing but",professional,"and joyful the whole day."""
