gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment
https://www.google.com/maps/place/The+Suites+Collection+-+Tree+Studios/data=!4m7!3m6!1s0x880e2cad9dd34cef:0x1f741caf94b5ce82!8m2!3d41.892866!4d-87.6278544!16s%2Fg%2F11yqknzxz!19sChIJ70zTna0sDogRgs61lK8cdB8?authuser=0&hl=en&rclk=1,The Suites Collection - Tree Studios,,,Conference center,4 E Ohio St,⋅ Opens 8:30 AM Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0s_dzCydzS2717v5ViS9SQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=119.53246&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Conference+Centre/data=!4m7!3m6!1s0x88131cbb2e07adc1:0x4d8a9aff24902a77!8m2!3d40.4153966!4d-86.8323409!16s%2Fg%2F11kmmyfbqy!19sChIJwa0HLrscE4gRdyqQJP-aik0?authuser=0&hl=en&rclk=1,Conference Centre,,,Conference center,,,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
https://www.google.com/maps/place/Hyatt+Regency+Mccormick+Place/data=!4m10!3m9!1s0x880e2b809cef007d:0xdbbb37b7cca93668!5m2!4m1!1i2!8m2!3d41.8521395!4d-87.6177894!16s%2Fm%2F0wfh5v1!19sChIJfQDvnIArDogRaDapzLc3u9s?authuser=0&hl=en&rclk=1,Hyatt Regency Mccormick Place,4.4,"-6,243",4-star hotel,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGtNQkK6F-Y0_8Ebf1k0RiRRJa-qXotWtVjv-H3eIFocMLx4Uw3tp90_iBdI8mPAmQRLY3_Si_bFykUAH4apkj4JhxBPKV4RNPRq-SIMo1jBPQIkONq75PbCtHet-YeUe7z6XIadeH_TX0bd5JFac1WZQfG6fcxXKnlSyntj9V8pL-vSXQMJxGwHQ=w161-h92-k-no,"""Connected directly to the"
https://www.google.com/maps/place/Stan+Mansion/data=!4m7!3m6!1s0x880fcd6f91fc38d9:0x3a8fac0d7235bf2c!8m2!3d41.9250382!4d-87.7080378!16s%2Fg%2F1tj33qyb!19sChIJ2Tj8kW_ND4gRLL81cg2sjzo?authuser=0&hl=en&rclk=1,Stan Mansion,4.7,-559,Wedding venue,2408 N Kedzie Blvd,⋅ Opens 11 AM Sun,https://lh5.googleusercontent.com/p/AF1QipNMmW8ozMaYs9wEBrnHIVsCvqn_m1qq3Xl3uc9b=w137-h92-k-no,"""Good looking facility would return for other events."""
https://www.google.com/maps/place/Copernicus+Center/data=!4m7!3m6!1s0x880fcc19b59aa347:0x3724378dfabc9f4b!8m2!3d41.9682754!4d-87.7588182!16s%2Fm%2F02w2_p8!19sChIJR6OatRnMD4gRS5-8-o03JDc?authuser=0&hl=en&rclk=1,Copernicus Center,4.5,"-1,729",Conference center,5216 W Lawrence Ave,⋅ Opens 8 AM Mon,https://lh5.googleusercontent.com/p/AF1QipM_CHT2IGSb6vHY1V9vR-Ar2JhCqecpR9TN6Y0=w163-h92-k-no,"""Amazing place for concerts and conferences."""
https://www.google.com/maps/place/Morgan+MFG/data=!4m7!3m6!1s0x880e2cd114cf975d:0xa02d8c13f728f40b!8m2!3d41.8895808!4d-87.6516783!16s%2Fg%2F11b67ghnr4!19sChIJXZfPFNEsDogRC_Qo9xOMLaA?authuser=0&hl=en&rclk=1,Morgan MFG,4.6,-475,Event venue,401 N Morgan St Suite #100,,https://lh5.googleusercontent.com/p/AF1QipMXedBunlLr_uJ-p3A7YjsfDLy6chvnAEf_XqmB=w138-h92-k-no,"""... an interesting space, but wasn't a great spot for a work"
"https://www.google.com/maps/place/Servcorp+155+North+Wacker+Drive+-+Coworking,+Office+Suites+%26+Virtual+Offices/data=!4m7!3m6!1s0x880e2cb83a040b13:0x992dbe14ac6fe53!8m2!3d41.8847452!4d-87.6363365!16s%2Fg%2F11_t2ggmd!19sChIJEwsEOrgsDogRU_7GSuHbkgk?authuser=0&hl=en&rclk=1","Servcorp 155 North Wacker Drive - Coworking, Office Suites & Virtual Offices",4.8,-48,Conference center,155 N Wacker Dr suite 4250,⋅ Opens 8:30 AM Mon,https://lh5.googleusercontent.com/p/AF1QipPTtmIkB51-QnZdQ1WEh6Cegz7aoQT-gWrqsPDk=w137-h92-k-no,Onsite services
https://www.google.com/maps/place/The+Joinery/data=!4m7!3m6!1s0x880fd2989e18eb9b:0xe76c8d54c4715e2f!8m2!3d41.9165208!4d-87.6911874!16s%2Fg%2F11c2nrn886!19sChIJm-sYnpjSD4gRL15xxFSNbOc?authuser=0&hl=en&rclk=1,The Joinery,4.7,-123,Event venue,2533 W Homer St,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipNHfU48f2Iv3GASwIl9O2tPOS8UOUFtK3ecFNP7=w138-h92-k-no,
https://www.google.com/maps/place/Conference+Center/data=!4m7!3m6!1s0x880b71ba9b65fe23:0x28e45a97d7b8b71b!8m2!3d40.4965019!4d-88.9896689!16s%2Fg%2F11fm38sdr4!19sChIJI_5lm7pxC4gRG7e415da5Cg?authuser=0&hl=en&rclk=1,Conference Center,,,Conference center,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iqj46ORJUC8Db1TdImwWUg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=262.3008&pitch=0&thumbfov=100,
"https://www.google.com/maps/place/Servcorp+River+Point+-+Coworking,+Office+Suites+%26+Virtual+Offices/data=!4m7!3m6!1s0x880e2cc80bf08f67:0xbfa1c0ba0a3f480e!8m2!3d41.8862429!4d-87.6395364!16s%2Fg%2F11c1nq_8jm!19sChIJZ4_wC8gsDogRDkg_CrrAob8?authuser=0&hl=en&rclk=1","Servcorp River Point - Coworking, Office Suites & Virtual Offices",4.8,-36,Conference center,"444 West Lake Street, Suite 1700, 17th floor",⋅ Opens 8:30 AM Mon,https://lh5.googleusercontent.com/p/AF1QipODeyhj6oB_QN_RdEsrwrV7jvKd-kSNq_r0aZqz=w152-h92-k-no,"""ServCorp Chicago Riverpoint center is a wonderful place to ..."""
